Products,Pack size,Use by/best before dates,Update
"AB Mauri Bako Madeira Cake Mix Mass Balance, Lot 12960",12.5kg,Best before: 30/12/2017,2017-09-07
"AB Mauri Bako Madeira Cake Mix Mass Balance, Lot 13634",12.5kg,Best before: 15/01/2018,2017-09-07
"AB Mauri Unifood Sponge Mix Sodium Aluminium Phosphate Free, Lot 13638",12.5kg,Best before: 14/02/2018,2017-09-07
"AB Mauri Chocolate Sponge Mix 57158-013-01PN, Lot 13875",12.5kg,Best before: 17/11/2017,2017-09-07
"AB Mauri Madeira Cake Mix 57165-013-00AM, Lot 12962",12.5kg,Best before: 29/01/2018,2017-09-07
"Classic Cuisine Pistachio Olive Oil Cake, Batch 7201",3 x 74 cases,Best before: July 2018,2017-09-07
"Bako North West Eipro Pasteurised Liquid Barn Yolk, Batch 6198-0",12 x 1kg,Use by: 18/09/2017,2017-09-07
Pidy UK Ltd Profiteroles au beurre (Batch: 2017215446),Pack of 100,Use by: 01/06/2018,2017-09-14
Pidy UK Ltd Profiteroles Butter (Batch: 2017215416),Pack of 250,Use by: 01/06/2018,2017-09-14
Pidy UK Ltd Profiteroles Butter (Batch: 2017236186),Pack of 250,Use by: 12/06/2018,2017-09-14
WM Morrison's Wafel Janssen BV 6 Toasting Waffles,250g,Use by: 22/09/2017,2017-09-14
Craig Foods Waffles (Item code: 521162010),6 pack ? 250g,Best before: 21/09/2017,2017-09-21
